dp_id,port_no,rx_bytes,rx_pkts,tx_bytes,tx_pkts,duration
3,1,19565562,12970,42142,170,187
3,2,38222,84,33553332,22313,187
3,3,26160794,17403,12187780,8148,187
1,1,27444456,18229,12190914,8175,197
1,2,12187822,8149,27447548,18255,197
2,1,21352662,14150,11677492,7864,197
2,2,11659598,7749,6099910,4155,197
2,3,12190914,8175,27444456,18229,197
3,1,20914266,13862,42142,170,197
3,2,38264,85,36188790,24057,197
3,3,27447548,18255,12187822,8149,197
1,1,29565834,19633,12838092,8604,207
1,2,12835000,8578,29568926,19659,207
2,1,22640928,15003,12188590,8203,207
2,2,13005362,8641,6748642,4586,207
2,3,12838092,8604,29565834,19633,207
3,1,22259946,14752,43654,171,207
3,2,39818,87,39008712,25923,207
3,3,29568926,19659,12835000,8578,207
1,1,32213388,21385,14186838,9497,217
1,2,14183746,9471,32216480,21411,217
2,1,23941248,15863,12188590,8203,217
2,2,14354108,9534,8097388,5479,217
2,3,14186838,9497,32216412,21387,217
3,1,23608734,15646,43808,174,217
3,2,39860,88,41657778,27676,217
3,3,32217992,21412,14183746,9471,217
1,1,34863994,23139,15535542,10389,227
1,2,15532450,10363,34867086,23165,227
3,1,24957438,16538,43878,175,227
3,2,39860,88,44306872,29429,227
3,3,34867086,23165,15532450,10363,227
2,1,25241568,16723,12188660,8204,227
2,2,15702882,10427,9446092,6371,227
2,3,15535542,10389,34863994,23139,227
1,1,36267340,24072,16881432,11284,237
1,2,16878340,11258,36270432,24098,237
2,1,26531388,17578,13502672,9075,237
2,2,15816408,10505,9477970,6395,237
2,3,16881432,11284,36267340,24072,237
3,1,26301690,17429,45474,178,237
3,2,41498,92,45708622,30359,237
3,3,36270432,24098,16878340,11258,237
1,1,37558658,24927,18230136,12176,247
1,2,18227044,12150,37561750,24953,247
3,1,27650394,18321,45544,179,247
3,2,41498,92,46999940,31214,247
3,3,37561750,24953,18227044,12150,247
2,1,27822706,18433,14851446,9968,247
2,2,15816408,10505,9478040,6396,247
2,3,18230136,12176,37558658,24927,247
1,1,38851525,25783,18942502,12649,257
1,2,18939303,12622,38854724,25810,257
3,1,28996074,19211,47377,183,257
3,2,41498,92,48925037,32490,257
3,3,38854724,25810,18939303,12622,257
2,1,29115466,19288,15846663,10629,257
2,2,16099152,10692,9478361,6399,257
2,3,18942502,12649,38851525,25783,257
1,1,40141303,26637,18942544,12650,267
1,2,18939345,12623,40144502,26664,267
2,1,30405286,20143,17195451,11523,267
2,2,17447898,11585,9478403,6400,267
2,3,18942544,12650,40141303,26637,267
3,1,30344862,20105,47461,185,267
3,2,41540,93,51565101,34238,267
3,3,40146014,26665,18939345,12623,267
1,1,41434105,27493,18942586,12651,277
1,2,18939387,12624,41437304,27520,277
2,1,31698088,20999,18542685,12415,277
2,2,18795090,12476,9478403,6400,277
2,3,18942586,12651,41434105,27493,277
3,1,31692054,20996,47461,185,277
3,2,41582,94,54203583,35984,277
3,3,41437304,27520,18939387,12624,277
1,1,43401287,28795,19570276,13069,287
1,2,19567007,13041,43404486,28822,287
2,1,32987866,21853,19208217,12859,287
2,2,20139300,13366,10107717,6821,287
2,3,19570276,13069,43401287,28795,287
3,1,33037734,21886,49113,188,287
3,2,43164,96,56888965,37761,287
3,3,43404486,28822,19567007,13041,287
1,1,46041323,30543,20919134,13964,297
1,2,20915865,13936,46044592,30571,297
3,1,34386592,22781,49267,191,297
3,2,43248,98,59529141,39511,297
3,3,46044592,30571,20917377,13937,297
2,1,34279156,22708,19208329,12861,297
2,2,21488130,14261,11458129,7718,297
2,3,20920646,13965,46041323,30543,297
1,1,48684299,32291,22267838,14856,307
1,2,22264569,14828,48687568,32319,307
3,1,35735296,23673,49267,191,307
3,2,43248,98,62172117,41259,307
3,3,48687568,32319,22264569,14828,307
2,1,35573428,23564,19208329,12861,307
2,2,22836834,15153,12805321,8609,307
2,3,22267838,14856,48684299,32291,307
1,1,51061205,33864,23615072,15748,317
1,2,23611803,15720,51064474,33892,317
2,1,36872236,24423,19831273,13273,317
2,2,23914932,15867,13529611,9089,317
2,3,23615072,15748,51061205,33864,317
3,1,37080976,24563,50779,192,317
3,2,44802,100,64547511,42831,317
3,3,51064474,33892,23611803,15720,317
1,1,52316333,34698,24962432,16643,327
1,2,24959163,16615,52319602,34726,327
2,1,38127280,25255,21178549,14166,327
2,2,23915016,15869,13529695,9091,327
2,3,24962432,16643,52316333,34698,327
3,1,38428252,25456,50863,194,327
3,2,44886,102,65802555,43663,327
3,3,52319602,34726,24959163,16615,327
1,1,53619677,35560,26311136,17535,337
1,2,26307867,17507,53622946,35588,337
2,1,39430624,26117,22527253,15058,337
2,2,23915016,15869,13529695,9091,337
2,3,26311136,17535,53619677,35560,337
3,1,39776956,26348,50863,194,337
3,2,44886,102,67105899,44525,337
3,3,53622946,35588,26307867,17507,337
1,1,54918485,36419,27039920,18017,347
1,2,27036651,17989,54921754,36447,347
3,1,41122636,27238,52375,195,347
3,2,44886,102,69020091,45791,347
3,3,54921754,36447,27036651,17989,347
2,1,40729432,26976,23256037,15540,347
2,2,23915016,15869,13529695,9091,347
2,3,27039920,18017,54918485,36419,347
1,1,56221871,37282,27039962,18018,357
1,2,27036693,17990,56225140,37310,357
